Unnamed: 0,STATE/UT,DISTRICT,Year,Complain,Risk Level
1916,ODISHA,TOTAL,2003,husband pushed wife down the stairs,Low
1917,PUNJAB,AMRITSAR,2003,husband shouted at wife loudly,Medium
1918,PUNJAB,BARNALA,2003,husband poured hot water on wife,Medium
1919,PUNJAB,BATALA,2003,husband insulted wife in front of relatives,Low
1920,PUNJAB,BHATINDA,2003,husband forced wife to stop working,Medium
1921,PUNJAB,FARIDKOT,2003,husband kicked wife in stomach during pregnancy,Medium
1922,PUNJAB,FATEHGARH SAHIB,2003,husband broke wifes mobile phone,Medium
1923,PUNJAB,FEROZEPUR,2003,husband locked wife inside room,Medium
1924,PUNJAB,G.R.P,2003,husband forced wife to give salary,Medium
1925,PUNJAB,GURDASPUR,2003,husband ignored wife for several days,Medium
1926,PUNJAB,HOSHIARPUR,2003,husband smashed wifes head against wall,Medium
1927,PUNJAB,JAGRAON,2003,husband accused wife of cheating,Medium
1928,PUNJAB,JALANDHAR,2003,husband threatened wife with knife,Medium
1929,PUNJAB,KAPURTHALA,2003,husband laughed at wifes opinions,Medium
1930,PUNJAB,KHANNA,2003,husband forced wife to sleep on floor,Medium
1931,PUNJAB,LUDHIANA,2003,husband insulted wifes cooking,Low
1932,PUNJAB,MAJITHA,2003,husband hit wife with glass bottle,High
1933,PUNJAB,MANSA,2003,husband denied wife proper meals,Medium
1934,PUNJAB,MOGA,2003,husband controlled wifes bank account,Medium
1935,PUNJAB,MUKTSAR,2003,husband threatened wife with gun,Medium
1936,PUNJAB,NAWAN SHAHR,2003,husband scolded wife for small mistakes,Medium
1937,PUNJAB,PATIALA,2003,husband dragged wife on the floor,Medium
1938,PUNJAB,ROPAR,2003,husband compared wife with other women,Medium
1939,PUNJAB,SANGRUR,2003,husband set fire to wifes clothes,Medium
1940,PUNJAB,TARN TARAN,2003,husband denied wife pocket money,Medium
1941,PUNJAB,TOTAL,2003,husband forced wife out of house at midnight,Medium
1942,RAJASTHAN,AJMER,2003,husband forced wife into intimacy without consent,Medium
1943,RAJASTHAN,ALWAR,2003,husband refused to buy medicine for wife,Medium
1944,RAJASTHAN,BANSWARA,2003,husband left wife bleeding after beating,Medium
1945,RAJASTHAN,BARAN,2003,husband refused to talk to wife,Medium
1946,RAJASTHAN,BARMER,2003,husband beat wife unconscious,Medium
1947,RAJASTHAN,BHARATPUR,2003,husband shouted at wife in public,Medium
1948,RAJASTHAN,BHILWARA,2003,husband refused to let wife go out alone,Medium
1949,RAJASTHAN,BIKANER,2003,husband pushed wife in front of children,Low
1950,RAJASTHAN,BUNDI,2003,husband ignored wifes requests for help,Medium
1951,RAJASTHAN,CHITTORGARH,2003,husband fractured wifes arm during fight,Medium
1952,RAJASTHAN,CHURU,2003,husband insulted wifes family members,Low
1953,RAJASTHAN,DAUSA,2003,husband forced wife to kneel as punishment,Medium
1954,RAJASTHAN,DHOLPUR,2003,husband criticized wifes appearance,Medium
1955,RAJASTHAN,DUNGARPUR,2003,husband threatened to throw wife out,Medium
1956,RAJASTHAN,G.R.P.,2003,husband humiliated wife at workplace,Medium
1957,RAJASTHAN,GANGANAGAR,2003,husband forced wife to clean all night,Medium
1958,RAJASTHAN,HANUMANGARH,2003,husband refused to allow medical check,Medium
1959,RAJASTHAN,JAIPUR,2003,husband laughed at wifes mistakes,Medium
1960,RAJASTHAN,JAISALMER,2003,husband controlled wifes clothes,Medium
1961,RAJASTHAN,JALORE,2003,husband forced wife to beg for money,Medium
1962,RAJASTHAN,JHALAWAR,2003,husband insulted wifes education,Low
1963,RAJASTHAN,JHUNJHUNU,2003,husband threw plate at wife,Medium
1964,RAJASTHAN,JODHPUR,2003,husband insulted wife in public,Low
1965,RAJASTHAN,KARAULI,2003,husband monitored wifes phone calls,Medium
1966,RAJASTHAN,KOTA,2003,husband forced wife to stand long hours,Medium
1967,RAJASTHAN,NAGAUR,2003,husband broke wifes jewelry,Medium
1968,RAJASTHAN,PALI,2003,husband denied wife privacy,Medium
1969,RAJASTHAN,RAJSAMAND,2003,husband shouted at wife in front of children,Medium
1970,RAJASTHAN,SAWAI MADHOPUR,2003,husband forced wife to give gold,Medium
1971,RAJASTHAN,SIKAR,2003,husband ridiculed wifes body,Medium
1972,RAJASTHAN,SIROHI,2003,husband forced wife to stay hungry,Medium
1973,RAJASTHAN,TONK,2003,husband locked wife outside house,Medium
1974,RAJASTHAN,UDAIPUR,2003,husband insulted wifes parents,Low
1975,RAJASTHAN,TOTAL,2003,husband compared wife to other women,Medium
1976,SIKKIM,EAST,2003,husband threw water on wife,Medium
1977,SIKKIM,NORTH,2003,husband insulted wife repeatedly,Low
1978,SIKKIM,SOUTH,2003,husband forced wife to remain silent,Medium
1979,SIKKIM,WEST,2003,husband forced wife to leave friends,Medium
1980,SIKKIM,TOTAL,2003,husband humiliated wife during ceremonies,Medium
1981,TAMIL NADU,CHENGAI,2003,husband controlled wifes earnings,Medium
1982,TAMIL NADU,CHENNAI,2003,husband denied wife her own money,Medium
1983,TAMIL NADU,CHENNAI RLY.,2003,husband shouted at wife during meals,Medium
1984,TAMIL NADU,COIMBATORE RURAL,2003,husband insulted wife about her looks,Low
1985,TAMIL NADU,COIMBATORE URBAN,2003,husband silenced wife when asking questions,Medium
1986,TAMIL NADU,CUDDALORE,2003,husband insulted wife without any cause,Low
1987,TAMIL NADU,DHARMAPURI,2003,husband excluded wife from property matters,Medium
1988,TAMIL NADU,DINDIGUL,2003,husband insulted wife in front of neighbors,Low
1989,TAMIL NADU,ERODE,2003,husband refused to give wife rest,Medium
1990,TAMIL NADU,KANCHIPURAM,2003,husband forced wife to handle all housework alone,Medium
1991,TAMIL NADU,KANYAKUMARI,2003,husband insulted wife during festivals,Low
1992,TAMIL NADU,KARUR,2003,husband denied emotional support,Medium
1993,TAMIL NADU,MADURAI RURAL,2003,husband insulted wife cruelly in front of others,Low
1994,TAMIL NADU,MADURAI URBAN,2003,husband silenced wife in every argument,Low
1995,TAMIL NADU,NAGAPATTINAM,2003,husband ridiculed wife in front of friends,Medium
1996,TAMIL NADU,NAMAKKAL,2003,husband insulted wife harshly at home,Low
1997,TAMIL NADU,NILGIRIS,2003,husband humiliated wife in public gatherings,Medium
1998,TAMIL NADU,PERAMBALUR,2003,husband forced wife to accept insults silently,Medium
1999,TAMIL NADU,PUDUKOTTAI,2003,husband insulted wife when drunk,Low
2000,TAMIL NADU,RAMNATHAPURAM,2003,husband insulted wife in community events,Low
2001,TAMIL NADU,SALEM RURAL,2003,husband insulted wife again and again,Low
2002,TAMIL NADU,SALEM URBAN,2003,husband silenced wife with harsh words,Medium
2003,TAMIL NADU,SIVAGANGAI,2003,husband humiliated wife constantly,Medium
2004,TAMIL NADU,THANJAVUR,2003,husband denied wife fair treatment,Medium
2005,TAMIL NADU,THENI,2003,husband insulted wife brutally,Low
2006,TAMIL NADU,THIRUNELVELI RURAL,2003,husband insulted wife violently with words,Low
2007,TAMIL NADU,THIRUNELVELI URBAN,2003,husband insulted wife every day,Low
2008,TAMIL NADU,THIRUVALLUR,2003,husband excluded wife from family functions,Medium
2009,TAMIL NADU,THIRUVANNAMALAI,2003,husband insulted wife cruelly at events,Low
2010,TAMIL NADU,THIRUVARUR,2003,husband insulted wife without respect,Low
2011,TAMIL NADU,THOOTHUGUDI,2003,husband insulted wife mercilessly,Low
2012,TAMIL NADU,TRICHY RLY.,2003,husband excluded wife from home decisions,Medium
2013,TAMIL NADU,TRICHY RURAL,2003,husband insulted wife severely,Low
2014,TAMIL NADU,TRICHY URBAN,2003,husband humiliated wife in family dinners,Medium
2015,TAMIL NADU,VELLORE,2003,husband insulted wife repeatedly in public,Low
2016,TAMIL NADU,VILLUPURAM,2003,husband denied kindness from wife,Medium
2017,TAMIL NADU,VIRUDHUNAGAR,2003,husband insulted wife in front of children,Low
2018,TAMIL NADU,TOTAL,2003,husband excluded wife from outings often,Medium
2019,TRIPURA,DHALAI,2003,husband insulted wife daily in community,Low
2020,TRIPURA,NORTH,2003,husband humiliated wife at neighborhood events,Medium
2021,TRIPURA,SOUTH,2003,husband insulted wife unfairly every day,Low
2022,TRIPURA,WEST,2003,husband excluded wife from important talks,Medium
2023,TRIPURA,TOTAL,2003,husband insulted wife savagely,Low
2024,UTTAR PRADESH,AGRA,2003,husband humiliated wife with strong insults,Medium
2025,UTTAR PRADESH,ALIGARH,2003,husband insulted wife with anger always,Low
2026,UTTAR PRADESH,ALLAHABAD,2003,husband excluded wife from social occasions,Medium
2027,UTTAR PRADESH,AMBEDKAR NAGAR,2003,husband insulted wife repeatedly at meals,Low
2028,UTTAR PRADESH,AURAIYA,2003,husband humiliated endlessly,Medium
2029,UTTAR PRADESH,AZAMGARH,2003,husband insulted wife with cruel words daily,Low
2030,UTTAR PRADESH,BADAUN,2003,husband excluded wife from family decisions regularly,Medium
2031,UTTAR PRADESH,BAGHPAT,2003,husband insulted wife daily at home,Low
2032,UTTAR PRADESH,BAHRAICH,2003,husband humiliated in public constantly,Medium
2033,UTTAR PRADESH,BALLIA,2003,husband insulted wife unfairly in private,Low
2034,UTTAR PRADESH,BALRAMPUR,2003,husband excluded wife from joyful times,Medium
2035,UTTAR PRADESH,BANDA,2003,husband insulted wife harshly every day,Low
2036,UTTAR PRADESH,BARABANKI,2003,husband humiliated repeatedly at functions,Medium
2037,UTTAR PRADESH,BAREILLY,2003,husband insulted wife during events daily,Low
2038,UTTAR PRADESH,BASTI,2003,husband denied freedom of opinion,Medium
2039,UTTAR PRADESH,BIJNOR,2003,husband insulted wife endlessly in events,Low
2040,UTTAR PRADESH,BULANDSHAHAR,2003,husband humiliated in front of family constantly,Medium
2041,UTTAR PRADESH,CHANDOLI,2003,husband insulted wife cruelly at work events,Low
2042,UTTAR PRADESH,CHITRAKOOT DHAM,2003,husband excluded wife from her own decisions,Medium
2043,UTTAR PRADESH,DEORIA,2003,husband insulted wife harshly every night,Low
2044,UTTAR PRADESH,ETAH,2003,husband humiliated unfairly each day,Medium
2045,UTTAR PRADESH,ETAWAH,2003,husband insulted wife in front of children always,Low
2046,UTTAR PRADESH,FAIZABAD,2003,husband excluded wife from speaking in gatherings,Medium
2047,UTTAR PRADESH,FATEHGARH,2003,husband insulted wife in public cruelly,Low
2048,UTTAR PRADESH,FATEHPUR,2003,husband humiliated daily without reason,Medium
2049,UTTAR PRADESH,FIROZABAD,2003,husband insulted wife brutally at events,Low
2050,UTTAR PRADESH,G.R.P.,2003,husband excluded wife from every decision,Medium
2051,UTTAR PRADESH,GAUTAMBUDH NAGAR,2003,husband insulted wife again harshly,Low
2052,UTTAR PRADESH,GHAZIABAD,2003,husband humiliated continuously daily,Medium
2053,UTTAR PRADESH,GHAZIPUR,2003,husband insulted wife cruelly at home every day,Low
2054,UTTAR PRADESH,GONDA,2003,husband excluded wife from freedom always,Medium
2055,UTTAR PRADESH,GORAKHPUR,2003,husband insulted wife unfairly at meals,Low
2056,UTTAR PRADESH,HAMIRPUR,2003,husband humiliated endlessly at gatherings,Medium
2057,UTTAR PRADESH,HARDOI,2003,husband insulted wife daily with anger,Low
2058,UTTAR PRADESH,HATHRAS,2003,husband excluded wife from respect in family,Medium
2059,UTTAR PRADESH,J.P.NAGAR,2003,husband insulted wife cruelly in public,Low
2060,UTTAR PRADESH,JALAUN,2003,husband humiliated without mercy,Medium
2061,UTTAR PRADESH,JAUNPUR,2003,husband insulted wife during family visits,Low
2062,UTTAR PRADESH,JHANSI,2003,husband excluded wife from family activities,Medium
2063,UTTAR PRADESH,KANNAUJ,2003,husband insulted wife aggressively during arguments,Low
2064,UTTAR PRADESH,KANPUR DEHAT,2003,husband humiliated wife in private daily,Medium
2065,UTTAR PRADESH,KANPUR NAGAR,2003,husband forced wife to kneel during fights,Medium
2066,UTTAR PRADESH,KAUSHAMBI,2003,husband insulted wife cruelly in front of children,Low
2067,UTTAR PRADESH,KHIRI,2003,husband excluded wife from neighborhood events,Medium
2068,UTTAR PRADESH,KUSHI NAGAR,2003,husband insulted wife daily at gatherings,Low
2069,UTTAR PRADESH,LALITPUR,2003,husband humiliated wife constantly during meals,Medium
2070,UTTAR PRADESH,LUCKNOW,2003,husband forced wife to stay in kitchen all day,Medium
2071,UTTAR PRADESH,MAHARAJGANJ,2003,husband insulted wife about her hairstyle,Low
2072,UTTAR PRADESH,MAHOBA,2003,husband excluded wife from celebrations,Medium
2073,UTTAR PRADESH,MAINPURI,2003,husband humiliated wife with loud shouting,Medium
2074,UTTAR PRADESH,MATHURA,2003,husband forced wife to beg for forgiveness,Medium
2075,UTTAR PRADESH,MAU,2003,husband insulted wife daily at breakfast,Low
2076,UTTAR PRADESH,MEERUT,2003,husband excluded wife from evening talks,Medium
2077,UTTAR PRADESH,MIRZAPUR,2003,husband humiliated wife during phone calls,Medium
2078,UTTAR PRADESH,MORADABAD,2003,husband forced wife to do heavy chores,Medium
2079,UTTAR PRADESH,MUZAFFARNAGAR,2003,husband insulted wifes intelligence,Low
2080,UTTAR PRADESH,PILIBHIT,2003,husband excluded wife from personal decisions,Medium
2081,UTTAR PRADESH,PRATAPGARH,2003,husband humiliated wife repeatedly in front of relatives,Medium
2082,UTTAR PRADESH,RAIBAREILLY,2003,husband insulted wife cruelly at lunch,Low
2083,UTTAR PRADESH,RAMPUR,2003,husband forced wife to quit her studies,Medium
2084,UTTAR PRADESH,SAHARANPUR,2003,husband excluded wife from work decisions,Medium
2085,UTTAR PRADESH,SANT KABIRNAGAR,2003,husband humiliated wife with sarcastic remarks,Medium
2086,UTTAR PRADESH,SHAHJAHANPUR,2003,husband insulted wife about her weight,Low
2087,UTTAR PRADESH,SHRAWASTI,2003,husband forced wife to stand for hours,Medium
2088,UTTAR PRADESH,SIDHARTHNAGAR,2003,husband excluded wife from social gatherings,Medium
2089,UTTAR PRADESH,SITAPUR,2003,husband humiliated wife at festivals,Medium
2090,UTTAR PRADESH,SONBHADRA,2003,husband insulted wife constantly without reason,Low
2091,UTTAR PRADESH,ST.RAVIDASNAGAR,2003,husband forced wife to sleep on the floor nightly,Medium
2092,UTTAR PRADESH,SULTANPUR,2003,husband excluded wife from family money matters,Medium
2093,UTTAR PRADESH,UNNAO,2003,husband humiliated wife in front of friends,Medium
2094,UTTAR PRADESH,VARANASI,2003,husband hit wife,High
2095,UTTAR PRADESH,TOTAL,2003,wife slapped by husband,Low
2096,UTTARAKHAND,ALMORA,2003,wife threatened with divorce,Medium
2097,UTTARAKHAND,BAGESHWAR,2003,wife insulted in public,Low
2098,UTTARAKHAND,CHAMOLI,2003,husband pushed wife during argument,Low
2099,UTTARAKHAND,CHAMPAWAT,2003,wife humiliated in front of family,Medium
2100,UTTARAKHAND,DEHRADUN,2003,partner shouted at wife,Medium
2101,UTTARAKHAND,HARIDWAR,2003,husband pulled wifes hair,Medium
2102,UTTARAKHAND,NAINITAL,2003,wife locked inside the room,Medium
2103,UTTARAKHAND,PAURI GARHWAL,2003,wife denied food by husband,Medium
2104,UTTARAKHAND,PITHORAGARH,2003,husband threw objects at wife,Medium
2105,UTTARAKHAND,RUDRA PRAYAG,2003,wife forced to hand over salary,Medium
2106,UTTARAKHAND,TEHRI GARHWAL,2003,husband accused wife without reason,Medium
2107,UTTARAKHAND,UDHAMSINGH NAGAR,2003,wife restricted from seeing family,Medium
2108,UTTARAKHAND,UTTARKASHI,2003,wife forced to quit job,Medium
2109,UTTARAKHAND,TOTAL,2003,wife denied healthcare by husband,Medium
2110,WEST BENGAL,24 PARGANAS NORTH,2003,partner broke wifes phone,Medium
2111,WEST BENGAL,24 PARGANAS SOUTH,2003,husband ignored wifes illness,Medium
2112,WEST BENGAL,ASANSOL,2003,wife forced into unwanted intimacy,Medium
2113,WEST BENGAL,BANKURA,2003,husband spread lies about wife,Medium
2114,WEST BENGAL,BIRBHUM,2003,wife excluded from family decisions,Medium
2115,WEST BENGAL,BURDWAN,2003,husband insulted wife daily,Low
2116,WEST BENGAL,COOCHBEHAR,2003,wife threatened with violence,High
2117,WEST BENGAL,DAKSHIN DINAJPUR,2003,husband destroyed wifes belongings,Medium
2118,WEST BENGAL,DARJEELING,2003,wife denied rest during pregnancy,Medium
2119,WEST BENGAL,HOOGHLY,2003,wife forced to obey husband blindly,Medium
2120,WEST BENGAL,HOWRAH,2003,husband controlled wifes movements,Medium
2121,WEST BENGAL,HOWRAH CITY,2003,wife silenced during argument,Low
2122,WEST BENGAL,HOWRAH G.R.P.,2003,husband checked wifes phone,Medium
2123,WEST BENGAL,JALPAIGURI,2003,wife forced to eat less,Medium
2124,WEST BENGAL,KHARAGPUR G.R.P.,2003,partner restricted wifes internet access,Medium
2125,WEST BENGAL,KOLKATA,2003,wife isolated from neighbors,Medium
2126,WEST BENGAL,MALDA,2003,husband criticized wifes cooking,Medium
2127,WEST BENGAL,MURSHIDABAD,2003,wife treated like servant,Medium
2128,WEST BENGAL,NADIA,2003,husband insulted wifes appearance,Low
2129,WEST BENGAL,PASCHIM MIDNAPUR,2003,wife denied access to money,Medium
2130,WEST BENGAL,PURAB MIDNAPUR,2003,husband forced wife to leave job,Medium
2131,WEST BENGAL,PURULIA,2003,wife accused of cheating without proof,Medium
2132,WEST BENGAL,SEALDAH G.R.P.,2003,husband insulted wife during family event,Low
2133,WEST BENGAL,SILIGURI G.R.P.,2003,wife forced to hand over documents,Medium
2134,WEST BENGAL,UTTAR DINAJPUR,2003,husband insulted wifes family,Low
2135,WEST BENGAL,TOTAL,2003,wife denied privacy,Medium
2136,A & N ISLANDS,ANDAMAN,2003,husband controlled every purchase,Medium
2137,A & N ISLANDS,NICOBAR,2003,wife locked outside house,Medium
2138,A & N ISLANDS,TOTAL,2003,husband forced wife to sleep separately,Medium
2139,CHANDIGARH,CHANDIGARH,2003,wife denied visits to parents,Medium
2140,CHANDIGARH,TOTAL,2003,husband used alcohol then abused wife,Medium
2141,D & N HAVELI,D and N HAVELI,2003,wife treated as inferior,Medium
2142,D & N HAVELI,TOTAL,2003,husband destroyed wifes clothes,Medium
2143,DAMAN & DIU,DAMAN,2003,wife blamed for financial problems,Medium
2144,DAMAN & DIU,DIU,2003,husband restricted wife from driving,Medium
2145,DAMAN & DIU,TOTAL,2003,wife ignored during illness,Medium
2146,DELHI,CENTRAL,2003,husband forced intimacy without consent,Medium
2147,DELHI,DELHI UT TOTAL,2003,wife insulted in front of children,Low
2148,DELHI,EAST,2003,husband ridiculed wife constantly,Medium
2149,DELHI,G.R.P.(RLY),2003,wife denied phone use,Medium
2150,DELHI,I.G.I. AIRPORT,2003,husband monitored wifes calls,Medium
2151,DELHI,NEW DELHI,2003,wife restricted from meeting friends,Medium
2152,DELHI,NORTH,2003,husband accused wife of laziness,Medium
2153,DELHI,NORTH EAST,2003,wife forced to beg for money,Medium
2154,DELHI,NORTH WEST,2003,husband threatened wife with weapon,Medium
2155,DELHI,S.T.F.,2003,wife shouted at daily,Medium
2156,DELHI,SOUTH,2003,husband ignored wife intentionally,Medium
2157,DELHI,SOUTH WEST,2003,wife blamed for everything,Medium
2158,DELHI,WEST,2003,husband criticized wifes body,Medium
2159,LAKSHADWEEP,LAKSHADWEEP,2003,wife threatened to be thrown out,Medium
2160,LAKSHADWEEP,TOTAL,2003,husband denied wife food,Medium
2161,PUDUCHERRY,PONDICHERRY,2003,wife controlled financially,Medium
2162,PUDUCHERRY,TOTAL,2003,husband forced wife to do hard work,Medium
2163,ANDHRA PRADESH,ADILABAD,2004,wife humiliated for mistakes,Medium
2164,ANDHRA PRADESH,ANANTAPUR,2004,husband forced wife to cook while sick,Medium
2165,ANDHRA PRADESH,CHITTOOR,2004,wife denied rest by husband,Medium
2166,ANDHRA PRADESH,CUDDAPAH,2004,husband insulted wife in front of others,Low
2167,ANDHRA PRADESH,CYBERABAD,2004,wife restricted from social life,Medium
2168,ANDHRA PRADESH,EAST GODAVARI,2004,husband checked wifes location,Medium
2169,ANDHRA PRADESH,GUNTAKAL RLY.,2004,wife excluded from celebrations,Medium
2170,ANDHRA PRADESH,GUNTUR,2004,husband used abusive language,Medium
2171,ANDHRA PRADESH,HYDERABAD CITY,2004,wife denied basic needs,Medium
2172,ANDHRA PRADESH,KARIMNAGAR,2004,husband insulted wifes dress,Low
2173,ANDHRA PRADESH,KHAMMAM,2004,wife blamed for husbands anger,Medium
2174,ANDHRA PRADESH,KRISHNA,2004,husband restricted wifes movements,Medium
2175,ANDHRA PRADESH,KURNOOL,2004,wife threatened to be abandoned,Medium
2176,ANDHRA PRADESH,MAHABOOBNAGAR,2004,husband accused wife without proof,Medium
2177,ANDHRA PRADESH,MEDAK,2004,wife forced to obey in silence,Medium
2178,ANDHRA PRADESH,NALGONDA,2004,husband pushed wife harshly,Low
2179,ANDHRA PRADESH,NELLORE,2004,wife forced to live in fear,Medium
2180,ANDHRA PRADESH,NIZAMABAD,2004,husband cursed wife daily,Medium
2181,ANDHRA PRADESH,PRAKASHAM,2004,wife humiliated during argument,Low
2182,ANDHRA PRADESH,RANGA REDDY,2004,husband ignored wifes opinions,Medium
2183,ANDHRA PRADESH,SECUNDERABAD RLY.,2004,wife blamed for household problems,Medium
2184,ANDHRA PRADESH,SRIKAKULAM,2004,husband accused wife of disrespect,Medium
2185,ANDHRA PRADESH,VIJAYAWADA,2004,wife forced to leave family events,Medium
2186,ANDHRA PRADESH,VIJAYAWADA RLY.,2004,husband insulted wife in front of guests,Low
2187,ANDHRA PRADESH,VISAKHA RURAL,2004,wife denied right to speak,Medium
2188,ANDHRA PRADESH,VISAKHAPATNAM,2004,husband forced wife to sign papers,Medium
2189,ANDHRA PRADESH,VIZIANAGARAM,2004,wife criticized unfairly,Medium
2190,ANDHRA PRADESH,WARANGAL,2004,husband made wife beg for money,Medium
2191,ANDHRA PRADESH,WEST GODAVARI,2004,wife denied freedom of speech,Medium
2192,ANDHRA PRADESH,TOTAL,2004,husband ignored wifes feelings,Medium
2193,ARUNACHAL PRADESH,CHANGLANG,2004,wife excluded from financial matters,Medium
2194,ARUNACHAL PRADESH,DIBANG VALLEY,2004,husband ridiculed wife in public,Medium
2195,ARUNACHAL PRADESH,K/KUMEY,2004,wife forced to wake early daily,Medium
2196,ARUNACHAL PRADESH,KAMENG EAST,2004,husband insulted wife repeatedly,Low
2197,ARUNACHAL PRADESH,KAMENG WEST,2004,wife denied personal time,Medium
2198,ARUNACHAL PRADESH,LOHIT,2004,husband restricted wifes bank account,Medium
2199,ARUNACHAL PRADESH,PAPUM PARE,2004,wife silenced by threats,Medium
2200,ARUNACHAL PRADESH,SIANG EAST,2004,husband insulted wifes relatives,Low
2201,ARUNACHAL PRADESH,SIANG UPPER,2004,wife treated without respect,Medium
2202,ARUNACHAL PRADESH,SIANG WEST,2004,husband controlled wifes daily life,Medium
2203,ARUNACHAL PRADESH,SUBANSIRI LOWER,2004,wife humiliated in front of relatives,Medium
2204,ARUNACHAL PRADESH,SUBANSIRI UPPER,2004,husband destroyed wifes belongings in anger,Medium
2205,ARUNACHAL PRADESH,TAWANG,2004,wife forced to accept blame,Medium
2206,ARUNACHAL PRADESH,TIRAP,2004,husband insulted wife in front of neighbors,Low
2207,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2004,wife denied her own money,Medium
2208,ARUNACHAL PRADESH,TOTAL,2004,husband insulted wifes cooking,Low
2209,ASSAM,BARPETA,2004,wife controlled through fear,Medium
2210,ASSAM,BONGAIGAON,2004,husband restricted wifes outings,Medium
2211,ASSAM,C.I.D.,2004,wife denied right to study,Medium
2212,ASSAM,CACHAR,2004,husband accused wife of betrayal,Medium
2213,ASSAM,DARRANG,2004,wife insulted in front of friends,Low
2214,ASSAM,DHEMAJI,2004,husband insulted wife during gatherings,Low
2215,ASSAM,DHUBRI,2004,wife forced to remain silent,Medium
2216,ASSAM,DIBRUGARH,2004,husband threatened wife with divorce constantly,Medium
2217,ASSAM,G.R.P.,2004,wife denied her salary,Medium
2218,ASSAM,GOALPARA,2004,husband ignored wife during pregnancy,Medium
2219,ASSAM,GOLAGHAT,2004,wife forced to stay at home,Medium
2220,ASSAM,GUWAHATI CITY,2004,husband insulted wifes body shape,Low
2221,ASSAM,HAILAKANDI,2004,wife accused without reason daily,Medium
2222,ASSAM,JORHAT,2004,husband forced wife to obey commands,Medium
2223,ASSAM,KAMRUP,2004,wife humiliated in public events,Medium
2224,ASSAM,KARBI ANGLONG,2004,husband shouted at wife daily,Medium
2225,ASSAM,KARIMGANJ,2004,wife denied access to health care,Medium
2226,ASSAM,KOKRAJHAR,2004,husband criticized wife harshly,Medium
2227,ASSAM,LAKHIMPUR,2004,wife blamed for husbands failures,Medium
2228,ASSAM,MORIGAON,2004,husband insulted wife in social media,Low
2229,ASSAM,N.C.HILLS,2004,wife forced to give up work,Medium
2230,ASSAM,NAGAON,2004,husband denied wifes needs,Medium
2231,ASSAM,NALBARI,2004,wife threatened with separation,Medium
2232,ASSAM,R.P.O.,2004,husband insulted wife during arguments,Low
2233,ASSAM,SIBSAGAR,2004,wife silenced by force,Medium
2234,ASSAM,SONITPUR,2004,husband insulted wife repeatedly in front of family,Low
2235,ASSAM,TINSUKIA,2004,wife denied any support,Medium
2236,ASSAM,TOTAL,2004,husband controlled wifes conversations,Medium
2237,BIHAR,ARARIA,2004,wife forced to follow orders,Medium
2238,BIHAR,ARWAL,2004,husband insulted wife in front of children,Low
2239,BIHAR,AURANGABAD,2004,wife excluded from family outings,Medium
2240,BIHAR,BAGAHA,2004,husband denied wife medical help,Medium
2241,BIHAR,BANKA,2004,wife forced into silence by threats,Medium
2242,BIHAR,BEGUSARAI,2004,husband ridiculed wifes intelligence,Medium
2243,BIHAR,BETTIAH,2004,wife treated like property,Medium
2244,BIHAR,BHABHUA,2004,husband insulted wife regularly,Low
2245,BIHAR,BHAGALPUR,2004,wife forced to give money daily,Medium
2246,BIHAR,BHOJPUR,2004,husband ignored wifes emotions,Medium
2247,BIHAR,BUXAR,2004,wife denied her opinion in decisions,Medium
2248,BIHAR,DARBHANGA,2004,husband humiliated wife in front of guests,Medium
2249,BIHAR,GAYA,2004,wife excluded from home decisions,Medium
2250,BIHAR,GOPALGANJ,2004,husband insulted wifes education,Low
2251,BIHAR,JAMALPUR RLY.,2004,wife denied freedom of movement,Medium
2252,BIHAR,JAMUI,2004,husband insulted wife during celebrations,Low
2253,BIHAR,JEHANABAD,2004,wife forced to accept insults,Medium
2254,BIHAR,KATIHAR,2004,husband insulted wife during meals,Low
2255,BIHAR,KATIHAR RLY.,2004,wife excluded from holidays,Medium
2256,BIHAR,KHAGARIA,2004,husband insulted wifes work,Low
2257,BIHAR,KISHANGANJ,2004,wife treated with constant disrespect,Medium
2258,BIHAR,LAKHISARAI,2004,husband insulted wife when angry,Low
2259,BIHAR,MADHEPURA,2004,wife denied rest and peace,Medium
2260,BIHAR,MADHUBANI,2004,husband insulted wife without reason,Low
2261,BIHAR,MOTIHARI,2004,wife excluded from social gatherings,Medium
2262,BIHAR,MUNGER,2004,husband ridiculed wifes efforts,Medium
2263,BIHAR,MUZAFFARPUR,2004,wife insulted for mistakes,Low
2264,BIHAR,MUZAFFARPUR RLY.,2004,husband insulted wife when drinking,Low
2265,BIHAR,NALANDA,2004,wife denied comfort at home,Medium
2266,BIHAR,NAUGACHIA,2004,husband insulted wife in community,Low
2267,BIHAR,NAWADAH,2004,wife excluded from choices,Medium
2268,BIHAR,PATNA,2004,husband insulted wifes dress daily,Low
2269,BIHAR,PATNA RLY.,2004,wife insulted during arguments,Low
2270,BIHAR,PURNEA,2004,husband insulted wifes opinions,Low
2271,BIHAR,ROHTAS,2004,wife treated like a burden,Medium
2272,BIHAR,SAHARSA,2004,husband insulted wife in front of friends,Low
2273,BIHAR,SAMASTIPUR,2004,wife denied happiness,Medium
2274,BIHAR,SARAN,2004,husband insulted wife publicly,Low
